=== 종목 배치 적재 (GICS 계층화) ===

모드: cron (sector_id 재시도)

  섹터 매핑 테이블 로드 중...
  gics_yfinance_map: 176건, sectors L1: 12건, sectors 전체: 220건

[cron] sector_id 미설정 종목 조회 중...
  대상: 10798개

  [1/10798] 580061 (KR): null (매핑 실패)
  [2/10798] 399580 (KR): null (매핑 실패)
  [3/10798] 570108 (KR): null (매핑 실패)
  [4/10798] 256450 (KR): null (매핑 실패)
  [5/10798] 610009 (KR): null (매핑 실패)
  [6/10798] 354240 (KR): null (매핑 실패)
  [7/10798] 266550 (KR): null (매핑 실패)
  [8/10798] 0128D0 (KR): null (매핑 실패)
  [9/10798] 0078V0 (KR): null (매핑 실패)
  [10/10798] 181480 (KR): null (매핑 실패)
  [11/10798] 251590 (KR): null (매핑 실패)
  [12/10798] 520064 (KR): null (매핑 실패)
  [13/10798] 0194N0 (KR): null (매핑 실패)
  [14/10798] 464610 (KR): null (매핑 실패)
  [15/10798] 500061 (KR): null (매핑 실패)
  [16/10798] 334690 (KR): null (매핑 실패)
  [17/10798] 610073 (KR): null (매핑 실패)
  [18/10798] 580084 (KR): null (매핑 실패)
  [19/10798] 580078 (KR): null (매핑 실패)
  [20/10798] 570111 (KR): null (매핑 실패)
  [21/10798] 485810 (KR): null (매핑 실패)
  [22/10798] 500028 (KR): null (매핑 실패)
  [23/10798] 570114 (KR): null (매핑 실패)
  [24/10798] 494180 (KR): null (매핑 실패)
  [25/10798] 610040 (KR): null (매핑 실패)
  [26/10798] 0008E0 (KR): null (매핑 실패)
  [27/10798] 500086 (KR): null (매핑 실패)
  [28/10798] 500072 (KR): null (매핑 실패)
  [29/10798] 095340 (KR): null (매핑 실패)
  [30/10798] 000087 (KR): sector_id=185
  [31/10798] 000250 (KR): null (매핑 실패)
  [32/10798] 440110 (KR): sector_id=128
  [33/10798] 500041 (KR): null (매핑 실패)
  [34/10798] 530084 (KR): null (매핑 실패)
  [35/10798] 373790 (KR): null (매핑 실패)
  [36/10798] 483240 (KR): null (매핑 실패)
  [37/10798] 307510 (KR): null (매핑 실패)
  [38/10798] 530056 (KR): null (매핑 실패)
  [39/10798] 0132D0 (KR): null (매핑 실패)
  [40/10798] 497510 (KR): null (매핑 실패)
  [41/10798] 270800 (KR): null (매핑 실패)
  [42/10798] 315270 (KR): null (매핑 실패)
  [43/10798] 497520 (KR): null (매핑 실패)
  [44/10798] 437370 (KR): null (매핑 실패)
  [45/10798] 570096 (KR): null (매핑 실패)
  [46/10798] 0191M0 (KR): null (매핑 실패)
  [47/10798] 700033 (KR): null (매핑 실패)
  [48/10798] 385710 (KR): null (매핑 실패)
  [49/10798] 610030 (KR): null (매핑 실패)
  [50/10798] 530127 (KR): null (매핑 실패)
  [51/10798] 409810 (KR): null (매핑 실패)
  [52/10798] 400570 (KR): null (매핑 실패)
  [53/10798] 520099 (KR): null (매핑 실패)
  [54/10798] 500097 (KR): null (매핑 실패)
  [55/10798] 448490 (KR): null (매핑 실패)
  [56/10798] 530095 (KR): null (매핑 실패)
  [57/10798] 178320 (KR): sector_id=121
  [58/10798] 0131A0 (KR): null (매핑 실패)
  [59/10798] 0203D0 (KR): null (매핑 실패)
  [60/10798] 058470 (KR): sector_id=127
  [61/10798] 269370 (KR): null (매핑 실패)
  [62/10798] 0093B0 (KR): null (매핑 실패)
  [63/10798] 700011 (KR): null (매핑 실패)
  [64/10798] 080220 (KR): null (매핑 실패)
  [65/10798] 412560 (KR): null (매핑 실패)
  [66/10798] 084370 (KR): null (매핑 실패)
  [67/10798] 530094 (KR): null (매핑 실패)
  [68/10798] 580044 (KR): null (매핑 실패)
  [69/10798] 570060 (KR): null (매핑 실패)
  [70/10798] 225050 (KR): null (매핑 실패)
  [71/10798] 424460 (KR): null (매핑 실패)
  [72/10798] 570023 (KR): null (매핑 실패)
  [73/10798] 610072 (KR): null (매핑 실패)
  [74/10798] 0114X0 (KR): null (매핑 실패)
  [75/10798] 530096 (KR): null (매핑 실패)
  [76/10798] 520069 (KR): null (매핑 실패)
  [77/10798] 217780 (KR): null (매핑 실패)
  [78/10798] 432600 (KR): null (매핑 실패)
  [79/10798] 267450 (KR): null (매핑 실패)
  [80/10798] 0154H0 (KR): null (매핑 실패)
  [81/10798] 435530 (KR): null (매핑 실패)
  [82/10798] 326230 (KR): null (매핑 실패)
  [83/10798] 0191B0 (KR): null (매핑 실패)
  [84/10798] 189400 (KR): null (매핑 실패)
  [85/10798] 494210 (KR): null (매핑 실패)
  [86/10798] 488480 (KR): null (매핑 실패)
  [87/10798] 215620 (KR): null (매핑 실패)
  [88/10798] 570094 (KR): null (매핑 실패)
  [89/10798] 480460 (KR): null (매핑 실패)
  [90/10798] 004255 (KR): sector_id=236
  [91/10798] 520038 (KR): null (매핑 실패)
  [92/10798] 530064 (KR): null (매핑 실패)
  [93/10798] 450180 (KR): null (매핑 실패)
  [94/10798] 0174R0 (KR): null (매핑 실패)
  [95/10798] 435540 (KR): null (매핑 실패)
  [96/10798] 580085 (KR): null (매핑 실패)
  [97/10798] 700035 (KR): null (매핑 실패)
  [98/10798] 550096 (KR): null (매핑 실패)
  [99/10798] 610049 (KR): null (매핑 실패)
  [100/10798] 140710 (KR): null (매핑 실패)
  [101/10798] 449680 (KR): null (매핑 실패)
  [102/10798] 580088 (KR): null (매핑 실패)
  [103/10798] 610062 (KR): null (매핑 실패)
  [104/10798] 610100 (KR): null (매핑 실패)
  [105/10798] 404540 (KR): null (매핑 실패)
  [106/10798] 496130 (KR): null (매핑 실패)
  [107/10798] 530062 (KR): null (매핑 실패)
  [108/10798] 438900 (KR): null (매핑 실패)
  [109/10798] 261110 (KR): null (매핑 실패)
  [110/10798] 580054 (KR): null (매핑 실패)
